,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
718,Maruti Suzuki Alto,PLATINUM,Bangalore,366299,48378,Petrol, 1st Owner,2016,Maruti
719,Maruti Suzuki Wagon,PLATINUM,Chennai,375899,54645,Petrol, 1st Owner,2014,Maruti
720,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,7211,Petrol, 1st Owner,2019,Maruti
721,Datsun Redi GO,PLATINUM,Bangalore,311399,37217,Petrol, 2nd Owner,2017,Datsun
722,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,32372,Petrol, 1st Owner,2019,Maruti
723,Maruti Suzuki Wagon,PLATINUM,Chennai,501999,37947,Petrol, 2nd Owner,2018,Maruti
724,Hyundai Grand i10,PLATINUM,Pune,409399,51886,Petrol, 2nd Owner,2014,Hyundai
725,Toyota Innova Crysta,PLATINUM,Pune,1737899,43187,Diesel, 2nd Owner,2018,Toyota
726,Hyundai i20 Active,PLATINUM,Pune,583999,33616,Diesel, 1st Owner,2015,Hyundai
727,Volkswagen Vento -,PLATINUM,Chennai,654299,91087,Diesel, 1st Owner,2015,Volkswagen
728,Ford Ecosport -,PLATINUM,Bangalore,986699,26372,Petrol, 2nd Owner,2018,Ford
729,Maruti Suzuki Celerio,PLATINUM,Bangalore,414199,58762,Petrol, 1st Owner,2014,Maruti
730,Hyundai Elite i20,PLATINUM,Chennai,588099,101920,Diesel, 2nd Owner,2016,Hyundai
731,Maruti Suzuki Swift,GOLD,Jaipur,490000,44000,Petrol,,2014,Maruti
732,Mahindra Scorpio 2.6,GOLD,Jaipur,225000,85000,Diesel,,2007,Mahindra
733,Maruti Suzuki Vitara,GOLD,Jaipur,775000,64000,Diesel,,2017,Maruti
734,Kia Sonet -,GOLD,Jaipur,1050000,13000,Diesel,,2021,Kia
735,Honda Amaze 1.5,GOLD,Jaipur,425000,76000,Diesel,,2015,Honda
736,Maruti Suzuki Alto,GOLD,Jaipur,275000,45000,Petrol,,2015,Maruti
737,Tata Nexon XZ,GOLD,Jaipur,875000,63088,Diesel,,2019,Tata
738,Maruti Suzuki Alto,GOLD,Chennai,250000,54123,Petrol,,2013,Maruti
739,Hyundai i20 Active,PLATINUM,Pune,567399,35140,Petrol, 2nd Owner,2015,Hyundai
740,Maruti Suzuki Ciaz,PLATINUM,Pune,805099,50842,Diesel, 2nd Owner,2018,Maruti
741,Honda Amaze -,PLATINUM,Pune,492199,43412,Petrol, 1st Owner,2015,Honda
742,Honda Jazz -,PLATINUM,Pune,495799,46201,Petrol, 1st Owner,2016,Honda
743,Maruti Suzuki S,PLATINUM,Bangalore,1113599,63626,Diesel, 2nd Owner,2017,Maruti
744,Maruti Suzuki Alto,PLATINUM,Chennai,299999,18251,Petrol, 1st Owner,2016,Maruti
745,Maruti Suzuki Baleno,PLATINUM,Chennai,592099,41019,Petrol, 2nd Owner,2016,Maruti
746,Renault Kwid RXT,PLATINUM,Chennai,322299,46463,Petrol, 1st Owner,2015,Renault
747,Renault Kwid -,PLATINUM,Bangalore,481999,20110,Petrol, 2nd Owner,2017,Renault
748,Hyundai Grand i10,PLATINUM,Pune,534599,17364,Petrol, 2nd Owner,2016,Hyundai
749,MG Motors Hector,PLATINUM,Bangalore,1681899,6760,Petrol, 2nd Owner,2020,MG
750,Maruti Suzuki Celerio,PLATINUM,Bangalore,429599,35109,Petrol, 2nd Owner,2016,Maruti
751,Honda Amaze -,PLATINUM,Chennai,723799,44266,Petrol, 2nd Owner,2018,Honda
752,Volkswagen Polo -,PLATINUM,Chennai,563299,39156,Petrol, 2nd Owner,2017,Volkswagen
753,Maruti Suzuki Alto,PLATINUM,Pune,214199,57993,Petrol, 3rd Owner,2011,Maruti
754,Maruti Suzuki Alto,PLATINUM,Bangalore,319399,51573,Petrol, 2nd Owner,2015,Maruti
755,Fiat Punto Emotion,GOLD,Pune,180000,88000,Petrol,,2011,Fiat
756,Hyundai i20 Sportz,GOLD,Pune,415000,67000,Petrol,,2014,Hyundai
757,Maruti Suzuki Swift,GOLD,Pune,350000,73000,Diesel,,2011,Maruti
758,Hyundai Elite i20,GOLD,Kolkata,430000,39000,Petrol,,2015,Hyundai
759,Mahindra XUV 500,GOLD,Thane,450000,87500,Diesel,,2012,Mahindra
760,Honda Accord 2.4,GOLD,Bhubaneswar,325000,86000,Petrol,,2006,Honda
761,Hyundai Grand i10,GOLD,Bangalore,565000,19900,Petrol,,2017,Hyundai
762,Nissan Terrano XV,GOLD,Madurai,880000,22000,Diesel,,2013,Nissan
763,Maruti Suzuki Vitara,PLATINUM,Bangalore,810399,78329,Diesel, 2nd Owner,2016,Maruti
764,Maruti Suzuki Ertiga,PLATINUM,Chennai,788999,61977,Diesel, 1st Owner,2016,Maruti
765,Mahindra KUV100 K6,PLATINUM,Bangalore,508799,58640,Diesel, 1st Owner,2016,Mahindra
766,Renault Kwid -,PLATINUM,Bangalore,457099,40650,Petrol, 1st Owner,2018,Renault
767,Volkswagen Polo -,PLATINUM,Bangalore,612899,19121,Petrol, 2nd Owner,2019,Volkswagen
768,Ford Ecosport -,PLATINUM,Chennai,684099,85893,Diesel, 2nd Owner,2016,Ford
769,Renault Triber -,PLATINUM,Chennai,716699,9874,Petrol, 2nd Owner,2019,Renault
770,Hyundai Grand i10,PLATINUM,Bangalore,501599,25202,Petrol, 1st Owner,2016,Hyundai
771,Hyundai Grand i10,PLATINUM,Chennai,509699,95999,Petrol, 2nd Owner,2016,Hyundai
772,Maruti Suzuki Alto,PLATINUM,Bangalore,337799,49074,Petrol, 2nd Owner,2014,Maruti
773,Hyundai Verna 1.6,PLATINUM,Pune,852399,52439,Petrol, 2nd Owner,2017,Hyundai
774,Mahindra XUV 500,PLATINUM,Bangalore,1784699,10813,Diesel, 1st Owner,2020,Mahindra
775,Hyundai Creta -,PLATINUM,Chennai,778199,127971,Petrol, 2nd Owner,2016,Hyundai
776,Maruti Suzuki Swift,PLATINUM,Chennai,705099,114108,Diesel, 2nd Owner,2018,Maruti
777,Hyundai Grand i10,PLATINUM,Chennai,557599,52030,Diesel, 2nd Owner,2017,Hyundai
778,Mahindra XUV 500,PLATINUM,Pune,1518099,44721,Diesel, 2nd Owner,2018,Mahindra
779,Mahindra Marazzo M6,GOLD,Madurai,1190000,50000,Diesel,,2018,Mahindra
780,Skoda Laura Ambition,GOLD,Madurai,590000,95000,Diesel,,2011,Skoda
781,Tata Harrier XZ,GOLD,Madurai,1980000,17000,Diesel,,2020,Tata
782,Mahindra XUV 500,GOLD,Chennai,1350000,52500,Diesel,,2018,Mahindra
783,BMW 5 Series,GOLD,NaviMumbai,1059000,49000,Petrol, 3rd Owner,2010,BMW
784,Maruti Suzuki Alto,GOLD,Kolkata,185000,55000,Petrol, 1st Owner,2011,Maruti
785,Mahindra Scorpio 2.6,GOLD,Chennai,710000,81500,Diesel,,2014,Mahindra
786,Mercedes Benz E,GOLD,Kolkata,1948888,10000,Diesel, 1st Owner,2013,Mercedes
787,Tata Harrier -,PLATINUM,Bangalore,2272499,22667,Diesel, 2nd Owner,2020,Tata
788,Honda City -,PLATINUM,Bangalore,626199,68519,Petrol, 1st Owner,2014,Honda
789,Tata Nano -,PLATINUM,Bangalore,236099,64011,Petrol, 1st Owner,2015,Tata
790,Maruti Suzuki Alto,PLATINUM,Bangalore,430499,13598,Petrol, 1st Owner,2021,Maruti
791,Maruti Suzuki Wagon,PLATINUM,Bangalore,442799,47037,Petrol, 2nd Owner,2014,Maruti
792,Hyundai Creta -,PLATINUM,Pune,1373699,69711,Petrol, 2nd Owner,2018,Hyundai
793,Hyundai Elite i20,PLATINUM,Pune,589299,49189,Petrol, 2nd Owner,2015,Hyundai
794,Maruti Suzuki Alto,PLATINUM,Chennai,298199,18368,Petrol, 1st Owner,2016,Maruti
795,Tata Harrier -,PLATINUM,Pune,1508799,16874,Diesel, 2nd Owner,2020,Tata
796,Maruti Suzuki Eeco,PLATINUM,Bangalore,473699,24484,Petrol, 2nd Owner,2019,Maruti
797,Maruti Suzuki Baleno,PLATINUM,Chennai,656299,20688,Petrol, 2nd Owner,2019,Maruti
798,Maruti Suzuki Alto,PLATINUM,Chennai,345799,24065,Petrol, 2nd Owner,2016,Maruti
799,Hyundai Grand i10,PLATINUM,Chennai,584599,22609,Petrol, 2nd Owner,2018,Hyundai
800,Skoda Rapid -,PLATINUM,Pune,786799,56523,Diesel, 2nd Owner,2017,Skoda
801,Hyundai Elite i20,PLATINUM,Chennai,624799,48031,Petrol, 2nd Owner,2018,Hyundai
802,Hyundai Grand i10,PLATINUM,Chennai,472399,45578,Petrol, 1st Owner,2016,Hyundai
803,Hyundai Fluidic Verna,GOLD,Kolkata,408888,70070,Diesel, 1st Owner,2012,Hyundai
804,Hyundai i10 Magna,GOLD,Kolkata,288888,28000,Petrol, 1st Owner,2015,Hyundai
805,Chevrolet Sail 1.2,GOLD,Kolkata,198888,30030,Diesel, 1st Owner,2013,Chevrolet
806,Ford Endeavor 4X4,GOLD,Kolkata,898888,25000,Diesel, 1st Owner,2011,Ford
807,BMW 3 Series,GOLD,Kolkata,1148888,8000,Diesel, 1st Owner,2013,BMW
808,Chevrolet Spark -,GOLD,Chennai,79000,53000,Petrol,,2010,Chevrolet
809,Honda City -,GOLD,Chennai,97000,68000,Petrol,,2007,Honda
810,Hyundai Santro GLS,GOLD,Pune,135000,58000,Petrol,,2007,Hyundai
811,Hyundai Elite i20,PLATINUM,Bangalore,687199,28648,Petrol, 1st Owner,2016,Hyundai
